cntry.code,a1960,a1961,a1962,a1963,a1964,a1965,a1966,a1967,a1968,a1969,a1970,a1971,a1972,a1973,a1974,a1975,a1976,a1977,a1978,a1979,a1980,a1981,a1982,a1983,a1984,a1985,a1986,a1987,a1988,a1989,a1990,a1991,a1992,a1993,a1994,a1995,a1996,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
CHL,,,,,,,,,,,,,,,,9.814850837,15.92549351,12.61732406,14.06445976,14.09018817,15.64501203,9.642655626,2.922445972,7.109657092,8.442297471,10.33481107,13.51078115,19.15121862,23.21520388,24.2894796,24.32907764,23.44805705,22.80719455,22.26821231,22.12049815,24.62057482,25.3183264,25.07635977,23.39498113,22.48331626,22.50172429,22.95400688,23.12168971,23.53782859,24.42773319,25.13020975,27.64988104,27.43423101,24.14920779,24.27693725,25.62769375,21.68612149,23.46866209,22.66631815,21.67947948,22.73386142,21.08780703,19.84212512,19.60370906,19.67640063,19.08554868,16.6584839,16.8882622,20.1657763,21.75907302
CHN,,,,,,,,,,,,,,,,,,,,,,,33.74012185,33.08640033,34.82908233,35.21368378,35.18523453,37.16836038,37.91405855,35.81360488,36.62282756,38.42797258,40.52621485,41.59445678,41.56418006,39.38126368,38.58132848,39.54693448,38.17664538,36.39283979,35.58264744,37.07755858,38.66092156,42.16092248,45.37157945,45.54170566,47.7875413,49.79065493,51.26556675,49.87358759,50.79512599,48.64106223,48.19562337,47.03634602,47.27362382,45.10160538,43.8678664,44.32025528,43.77157642,43.29259973,43.49986335,44.67993871,44.83357106,42.48721346,
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.75292344,-18.2668801,-19.90297447,-13.9842172,-12.23455871,-11.36763315,-12.44902869,-9.90077029,-8.314578659,22.78909982,22.43247102,22.43146757,19.2374427,17.86864201,18.90938405,17.74787182,19.05099755,19.40842933,,
CMR,,,,,,,,,,,,,,,,,,4.10184384,18.2519466,15.57102318,5.228034771,9.510942033,23.34697993,21.3557874,24.76338332,23.33284435,23.87331825,18.94135744,19.71795363,17.78584801,16.18676865,15.41913885,11.06610648,16.08226978,18.03808464,19.68505112,16.40313793,17.55822115,17.33548684,16.54237921,14.38148472,12.15782486,11.91175614,14.19098559,16.91747745,16.87037517,19.32032196,18.88596301,17.51653491,16.14105029,15.29820401,15.5227665,15.11635543,15.33380841,15.22438584,14.31569393,16.45689413,16.28938373,15.70784986,14.39992115,13.34861877,13.93962806,15.60578885,15.36967992,
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.362421753,11.8250329,13.0705812,3.453186646,8.543636163,19.94035795,19.16813834,8.1580008,12.53924975,15.39313469,12.30906285,10.85437233,21.6499453,15.84159521,14.48770795,22.441779,26.45907905,26.9110511,29.46731168,
COG,,,,,,,,,,,,,,,,,,,8.129910081,17.91013447,26.12098435,25.04728798,39.25060045,36.13413773,40.48752461,24.87331121,18.34994921,24.99591799,5.351777056,14.59950074,31.77735958,17.57838975,32.33210207,21.21146426,28.8079533,-2.301749668,-0.209248289,9.274813012,6.024347448,17.68209574,36.17262974,22.02523532,23.5482737,30.74157345,17.04504335,32.69808848,42.00490423,33.3484708,43.49245367,40.19205721,54.04430634,50.08982623,57.50172585,57.85018012,56.63817358,39.54349173,24.86953979,,,37.57940161,36.29299511,31.65602764,,,
COL,,,,,,,,,16.89458099,15.95031317,17.04502207,13.55889371,16.70522468,18.81620747,19.27650708,16.70735599,18.7228326,21.02405782,19.96043295,19.24506304,19.44924874,16.39144254,14.15859889,14.39888438,15.05013963,16.84428805,22.08904671,21.31223286,22.42755668,20.61599795,20.88099902,22.9369714,19.08533876,17.90265318,19.10141518,18.50708754,15.10932615,13.49826605,12.87348161,13.5396342,13.57496867,12.83463539,13.92546062,15.39649531,16.8283644,18.4240691,19.01077229,18.63864987,19.56820861,18.66999664,18.45591353,19.34555643,18.37132843,18.18979935,18.15609511,17.36986727,17.47785728,17.10212763,16.36558246,16.17890591,14.43746022,13.73057369,12.38434018,12.66805532,13.82206416
COM,,,,,,,,,,,,,,,,,,,,,5.612753528,12.45054373,9.432133262,9.062354426,15.02726928,15.29314084,10.02558421,11.4210651,11.64934735,13.13023601,10.20689066,9.489899108,10.65864901,12.35203294,13.80934467,9.637520357,,,,,,,,4.425297772,6.840510104,8.559628634,10.45837488,12.7926145,11.80705058,13.87334643,13.84301973,10.80084291,12.03106146,,9.819689118,13.4766404,8.212049952,11.3771508,12.20801706,10.35397929,10.03689452,13.09681155,12.98840347,9.896760826,
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91022608,37.32185296,33.33793353,34.61186307,34.07204452,29.06873328,29.20589665,26.60912701,28.52076844,28.05334347,25.59090523,25.55283655,24.76160468,17.54797763,17.57376417,19.13932114,16.82996008,19.60890796
CRI,,,,,,,,,,,,,,,,,,16.72411513,12.86644178,11.63624504,12.06093104,14.32390299,13.48722163,15.02751158,18.71158581,22.51601649,23.29469234,21.41881378,20.91545387,18.69660588,19.35723104,13.1788883,14.61496694,13.09986161,15.24440543,15.89226673,14.1387856,15.72937424,17.4392312,15.74408163,15.77078385,16.57293818,14.35721451,13.41997416,14.88080092,14.1790465,16.44709007,17.11700579,15.24235568,15.78180484,15.8017129,13.79904613,13.83798942,13.83453196,13.49578081,14.62254544,15.88073705,14.24370903,14.38364295,13.89099065,14.88460902,14.52964795,13.94608331,14.30837978,14.74210756
